LAD19CD,TacticalCell,LAD_int_Proportion of neighbourhoods in 20% most digitally excluded,LAD_int_Percentage of population who are ethnic minority,"LAD_int_Latest COVID-19 cases per 100,000",LAD_int_Fuel Poor Households,LAD_int_Homelessness (rate per 1000),LAD_int_Clinically extremely vulnerable,LAD_int_Unemployed receiving Universal Credit,LAD_int_People receiving Section 95 support,LAD_perc_Proportion of neighbourhoods in 20% most digitally excluded,LAD_perc_Percentage of population who are ethnic minority,"LAD_perc_Latest COVID-19 cases per 100,000",LAD_perc_Fuel Poor Households,LAD_perc_Homelessness (rate per 1000),LAD_perc_Clinically extremely vulnerable,LAD_perc_Unemployed receiving Universal Credit,LAD_perc_People receiving Section 95 support,tc_int_Proportion of neighbourhoods in 20% most digitally excluded,tc_int_Percentage of population who are ethnic minority,"tc_int_Latest COVID-19 cases per 100,000",tc_int_Fuel Poor Households,tc_int_Homelessness (rate per 1000),tc_int_Clinically extremely vulnerable,tc_int_Unemployed receiving Universal Credit,tc_int_People receiving Section 95 support,tc_perc_Proportion of neighbourhoods in 20% most digitally excluded,tc_perc_Percentage of population who are ethnic minority,"tc_perc_Latest COVID-19 cases per 100,000",tc_perc_Fuel Poor Households,tc_perc_Homelessness (rate per 1000),tc_perc_Clinically extremely vulnerable,tc_perc_Unemployed receiving Universal Credit,tc_perc_People receiving Section 95 support
E07000242,South East,NA,NA,NA,4397,0.915,5700,4526,NA,0,NA,NA,7.3,NA,3.8,3.1,NA,NA,NA,NA,362806,NA,404735,466942,1253,0.009569377990430622,13.6,NA,8.3,NA,3.9,4.5,NA
E07000243,South East,NA,NA,NA,2746,1.61,3005,4469,NA,0,13.3,NA,7.4,NA,3.4,5.1,NA,NA,NA,NA,362806,NA,404735,466942,1253,0.009569377990430622,13.6,NA,8.3,NA,3.9,4.5,NA
E08000001,North,NA,NA,421.14,14433,1.751,15885,19509,938,0.2571428571428571,27.8,NA,11.9,NA,5.6,6.8,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000002,North,NA,NA,433.01,8662,2.736,9665,10871,432,0,13.7,NA,10.6,NA,5.1,5.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000003,North,NA,NA,351.99,33216,5.222,19440,47602,904,0,37,NA,15.5,NA,3.5,8.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000004,North,NA,NA,519.17,11023,1.016,9925,20986,702,0.24242424242424243,27.2,NA,11.7,NA,4.2,8.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000005,North,NA,NA,478.84,11200,3.024,8265,16834,849,0.04,26.2,NA,12.2,NA,3.8,7.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000006,North,NA,NA,413.01,12171,3.759,11610,18187,794,0.13333333333333333,14,NA,11.2,NA,4.6,7.1,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000007,North,NA,NA,309.11,12564,1.592,11390,12936,152,0.023809523809523808,8.2,NA,9.8,NA,3.9,4.4,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000008,North,NA,NA,369.11,10601,2.102,9770,15990,544,0.1,11.8,NA,10.7,NA,4.3,7.1,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
